Time,Angle
04/16/2017 17:30:51,-118.7519989
04/16/2017 17:40:51,-118.7429962
04/16/2017 17:50:51,-118.7519989
04/16/2017 18:00:51,-118.7580032
04/16/2017 18:10:52,-118.7689972
04/16/2017 18:20:53,-118.7659988
04/16/2017 18:30:54,-118.7580032
04/16/2017 18:40:54,-118.7659988
04/16/2017 18:50:55,-118.7570038
04/16/2017 19:00:55,-118.7610016
04/16/2017 19:10:55,-118.7600021
04/16/2017 19:20:55,-118.7659988
04/16/2017 19:30:56,-118.7649994
04/16/2017 19:40:57,-118.7720032
04/16/2017 19:50:58,-118.7649994
04/16/2017 20:00:58,-118.7570038
04/16/2017 20:10:58,-118.7689972
04/16/2017 20:20:59,-118.7669983
04/16/2017 20:31:00,-118.7689972
04/16/2017 20:41:01,-118.7659988
04/16/2017 20:51:02,-118.7649994
04/16/2017 21:01:02,-118.7699966
04/16/2017 21:11:02,-118.7730026
04/16/2017 21:21:02,-118.7799988
04/16/2017 21:31:03,-118.7730026
04/16/2017 21:41:04,-118.776001
04/16/2017 21:51:05,-118.7730026
04/16/2017 22:01:06,-118.7789993
04/16/2017 22:11:07,-118.7669983
04/16/2017 22:21:07,-118.7740021
04/16/2017 22:31:08,-118.7740021
04/16/2017 22:41:09,-118.7779999
04/16/2017 22:51:10,-118.7799988
04/16/2017 23:01:11,-118.7770004
04/16/2017 23:11:12,-118.7750015
04/16/2017 23:21:13,-118.7789993
04/16/2017 23:31:13,-118.7779999
04/16/2017 23:41:14,-118.7740021
04/16/2017 23:51:14,-118.7799988
04/17/2017 00:01:14,-118.7770004
04/17/2017 00:11:15,-118.7699966
04/17/2017 00:21:16,-118.7699966
04/17/2017 00:31:16,-118.7789993
04/17/2017 00:41:16,-118.7850037
04/17/2017 00:51:17,-118.7789993
04/17/2017 01:01:18,-118.7850037
04/17/2017 01:11:19,-118.7870026
04/17/2017 01:21:20,-118.7860031
04/17/2017 01:31:21,-118.7850037
04/17/2017 01:41:21,-118.7839966
04/17/2017 01:51:21,-118.788002
04/17/2017 02:01:22,-118.7789993
04/17/2017 02:11:22,-118.7839966
04/17/2017 02:21:23,-118.7809982
04/17/2017 02:31:24,-118.776001
04/17/2017 02:41:25,-118.7839966
