Channel,LQE,UpLink Power,Downlink Power,Time
24,6,-90,-89.68807488,7:38:05
26,6,-90,-90,7:38:05
11,6,-90,-87.9216988,7:38:05
12,6,-90,-90,7:38:05
13,6,-90,-88.49141223,7:38:08
14,6,-90,-90,7:38:08
16,6,-90,-89.68807488,7:38:08
17,6,-90,-90,7:38:08
18,6,-89.68807488,-87.36959568,7:38:08
19,6,-89.07982737,-87.64351265,7:38:08
20,6,-90,-89.68807488,7:38:08
21,6,-89.38139986,-89.07982737,7:38:08
23,7,-90,-90,7:38:08
24,7,-90,-90,7:38:08
26,7,-90,-89.68807488,7:38:08
11,7,-89.38139986,-87.36959568,7:38:08
12,9,-90,-90,7:38:08
13,9,-89.68807488,-88.78321235,7:38:17
14,10,-90,-90,7:38:17
15,9,-90,-90,7:38:17
16,7,-90,-89.68807488,7:38:17
17,7,-90,-90,7:38:17
18,5,-89.38139986,-87.9216988,7:38:17
19,7,-89.38139986,-87.64351265,7:38:17
20,8,-90,-90,7:38:17
21,8,-90,-90,7:38:17
22,7,-90,-90,7:38:17
23,7,-89.68807488,-89.68807488,7:38:17
24,7,-90,-90,7:38:17
26,7,-90,-90,7:38:17
11,7,-88.78321235,-87.64351265,7:38:17
12,10,-90,-90,7:38:17
13,10,-90,-90,7:38:25
14,8,-90,-90,7:38:25
15,6,-90,-90,7:38:25
16,6,-90,-89.68807488,7:38:25
17,6,-90,-90,7:38:25
18,6,-89.07982737,-87.9216988,7:38:25
19,8,-89.38139986,-88.49141223,7:38:25
20,10,-90,-90,7:38:25
21,10,-90,-88.78321235,7:38:25
23,6,-90,-90,7:38:25
24,6,-90,-90,7:38:25
26,6,-90,-89.68807488,7:38:25
11,6,-89.07982737,-87.36959568,7:38:25
12,9,-90,-90,7:38:25
13,9,-90,-90,7:38:34
14,9,-90,-90,7:38:34
15,6,-90,-90,7:38:34
16,5,-90,-88.78321235,7:38:34
17,5,-90,-90,7:38:34
18,5,-90,-88.78321235,7:38:34
19,5,-89.38139986,-86.57216784,7:38:34
20,6,-90,-89.68807488,7:38:34
21,6,-90,-89.68807488,7:38:34
23,4,-90,-90,7:38:34
24,4,-90,-90,7:38:34
26,4,-90,-89.68807488,7:38:34
11,4,-89.68807488,-88.49141223,7:38:34
12,5,-90,-90,7:38:34
13,5,-90,-88.49141223,7:38:42
14,5,-90,-90,7:38:42
15,5,-90,-89.68807488,7:38:42
16,3,-90,-90,7:38:42
17,3,-90,-90,7:38:42
18,3,-89.38139986,-87.9216988,7:38:42
19,5,-88.78321235,-88.49141223,7:38:42
20,8,-90,-89.68807488,7:38:42
21,8,-90,-90,7:38:42
23,7,-90,-89.68807488,7:38:42
24,7,-90,-90,7:38:42
26,7,-90,-89.07982737,7:38:42
11,7,-88.20428693,-86.83405012,7:38:42
12,11,-90,-90,7:38:42
13,11,-90,-89.68807488,7:38:51
14,11,-90,-90,7:38:51
15,10,-90,-90,7:38:51
16,7,-90,-89.07982737,7:38:51
17,7,-90,-90,7:38:51
18,7,-88.78321235,-88.49141223,7:38:51
19,10,-88.49141223,-87.09981751,7:38:54
20,13,-90,-90,7:38:54
21,13,-89.68807488,-89.07982737,7:38:54
23,10,-90,-90,7:38:54
24,10,-90,-89.68807488,7:38:54
26,10,-89.38139986,-89.07982737,7:38:54
11,12,-89.07982737,-87.36959568,7:38:54
12,14,-90,-90,7:38:54
13,14,-90,-89.07982737,7:38:59
14,14,-90,-90,7:38:59
15,11,-90,-90,7:38:59
16,7,-90,-89.07982737,7:38:59
17,7,-90,-89.68807488,7:38:59
