Channel,LQE,UpLink Power,Downlink Power,Time
24,6,-90,-89.68807488,5/7/17 7:38
26,6,-90,-90,5/7/17 7:38
11,6,-90,-87.9216988,5/7/17 7:38
12,6,-90,-90,5/7/17 7:38
13,6,-90,-88.49141223,5/7/17 7:38
14,6,-90,-90,5/7/17 7:38
16,6,-90,-89.68807488,5/7/17 7:38
17,6,-90,-90,5/7/17 7:38
18,6,-89.68807488,-87.36959568,5/7/17 7:38
19,6,-89.07982737,-87.64351265,5/7/17 7:38
20,6,-90,-89.68807488,5/7/17 7:38
21,6,-89.38139986,-89.07982737,5/7/17 7:38
23,7,-90,-90,5/7/17 7:38
24,7,-90,-90,5/7/17 7:38
26,7,-90,-89.68807488,5/7/17 7:38
11,7,-89.38139986,-87.36959568,5/7/17 7:38
12,9,-90,-90,5/7/17 7:38
13,9,-89.68807488,-88.78321235,5/7/17 7:38
14,10,-90,-90,5/7/17 7:38
15,9,-90,-90,5/7/17 7:38
16,7,-90,-89.68807488,5/7/17 7:38
17,7,-90,-90,5/7/17 7:38
18,5,-89.38139986,-87.9216988,5/7/17 7:38
19,7,-89.38139986,-87.64351265,5/7/17 7:38
20,8,-90,-90,5/7/17 7:38
21,8,-90,-90,5/7/17 7:38
22,7,-90,-90,5/7/17 7:38
23,7,-89.68807488,-89.68807488,5/7/17 7:38
24,7,-90,-90,5/7/17 7:38
26,7,-90,-90,5/7/17 7:38
11,7,-88.78321235,-87.64351265,5/7/17 7:38
12,10,-90,-90,5/7/17 7:38
13,10,-90,-90,5/7/17 7:38
14,8,-90,-90,5/7/17 7:38
15,6,-90,-90,5/7/17 7:38
16,6,-90,-89.68807488,5/7/17 7:38
17,6,-90,-90,5/7/17 7:38
18,6,-89.07982737,-87.9216988,5/7/17 7:38
19,8,-89.38139986,-88.49141223,5/7/17 7:38
20,10,-90,-90,5/7/17 7:38
21,10,-90,-88.78321235,5/7/17 7:38
23,6,-90,-90,5/7/17 7:38
24,6,-90,-90,5/7/17 7:38
26,6,-90,-89.68807488,5/7/17 7:38
11,6,-89.07982737,-87.36959568,5/7/17 7:38
12,9,-90,-90,5/7/17 7:38
13,9,-90,-90,5/7/17 7:38
14,9,-90,-90,5/7/17 7:38
15,6,-90,-90,5/7/17 7:38
16,5,-90,-88.78321235,5/7/17 7:38
17,5,-90,-90,5/7/17 7:38
18,5,-90,-88.78321235,5/7/17 7:38
19,5,-89.38139986,-86.57216784,5/7/17 7:38
20,6,-90,-89.68807488,5/7/17 7:38
21,6,-90,-89.68807488,5/7/17 7:38
23,4,-90,-90,5/7/17 7:38
24,4,-90,-90,5/7/17 7:38
26,4,-90,-89.68807488,5/7/17 7:38
11,4,-89.68807488,-88.49141223,5/7/17 7:38
12,5,-90,-90,5/7/17 7:38
13,5,-90,-88.49141223,5/7/17 7:38
14,5,-90,-90,5/7/17 7:38
15,5,-90,-89.68807488,5/7/17 7:38
16,3,-90,-90,5/7/17 7:38
17,3,-90,-90,5/7/17 7:38
18,3,-89.38139986,-87.9216988,5/7/17 7:38
19,5,-88.78321235,-88.49141223,5/7/17 7:38
20,8,-90,-89.68807488,5/7/17 7:38
21,8,-90,-90,5/7/17 7:38
23,7,-90,-89.68807488,5/7/17 7:38
24,7,-90,-90,5/7/17 7:38
26,7,-90,-89.07982737,5/7/17 7:38
11,7,-88.20428693,-86.83405012,5/7/17 7:38
12,11,-90,-90,5/7/17 7:38
13,11,-90,-89.68807488,5/7/17 7:38
14,11,-90,-90,5/7/17 7:38
15,10,-90,-90,5/7/17 7:38
16,7,-90,-89.07982737,5/7/17 7:38
17,7,-90,-90,5/7/17 7:38
18,7,-88.78321235,-88.49141223,5/7/17 7:38
19,10,-88.49141223,-87.09981751,5/7/17 7:38
20,13,-90,-90,5/7/17 7:38
21,13,-89.68807488,-89.07982737,5/7/17 7:38
23,10,-90,-90,5/7/17 7:38
24,10,-90,-89.68807488,5/7/17 7:38
26,10,-89.38139986,-89.07982737,5/7/17 7:38
11,12,-89.07982737,-87.36959568,5/7/17 7:38
12,14,-90,-90,5/7/17 7:38
13,14,-90,-89.07982737,5/7/17 7:38
14,14,-90,-90,5/7/17 7:38
15,11,-90,-90,5/7/17 7:38
16,7,-90,-89.07982737,5/7/17 7:38
17,7,-90,-89.68807488,5/7/17 7:38
18,6,-90,-86.31404735,5/7/17 7:39
19,6,-89.68807488,-87.09981751,5/7/17 7:39
20,7,-90,-89.38139986,5/7/17 7:39
21,6,-90,-89.38139986,5/7/17 7:39
23,3,-90,-90,5/7/17 7:39
24,3,-90,-90,5/7/17 7:39
26,3,-90,-89.68807488,5/7/17 7:39
11,3,-90,-88.78321235,5/7/17 7:39
12,3,-90,-90,5/7/17 7:39
13,3,-90,-90,5/7/17 7:39
14,3,-90,-90,5/7/17 7:39
15,3,-90,-90,5/7/17 7:39
16,2,-89.38139986,-88.49141223,5/7/17 7:39
17,4,-90,-90,5/7/17 7:39
18,4,-89.68807488,-86.57216784,5/7/17 7:39
19,5,-90,-87.64351265,5/7/17 7:39
20,5,-90,-90,5/7/17 7:39
21,5,-90,-89.38139986,5/7/17 7:39
23,5,-90,-90,5/7/17 7:39
24,5,-90,-90,5/7/17 7:39
26,5,-89.38139986,-89.68807488,5/7/17 7:39
11,7,-89.68807488,-87.64351265,5/7/17 7:39
12,7,-90,-90,5/7/17 7:39
13,6,-90,-89.38139986,5/7/17 7:39
14,6,-90,-90,5/7/17 7:39
15,5,-90,-90,5/7/17 7:39
16,5,-90,-89.68807488,5/7/17 7:39
17,5,-90,-90,5/7/17 7:39
18,5,-88.49141223,-88.20428693,5/7/17 7:39
19,9,-89.68807488,-86.57216784,5/7/17 7:39
20,9,-90,-89.68807488,5/7/17 7:39
21,8,-90,-88.78321235,5/7/17 7:39
23,7,-90,-90,5/7/17 7:39
24,7,-90,-90,5/7/17 7:39
26,7,-89.68807488,-88.20428693,5/7/17 7:39
11,8,-90,-88.78321235,5/7/17 7:39
12,8,-90,-90,5/7/17 7:39
13,8,-90,-89.07982737,5/7/17 7:39
14,8,-90,-89.68807488,5/7/17 7:39
15,4,-89.68807488,-89.68807488,5/7/17 7:39
16,4,-90,-89.07982737,5/7/17 7:39
17,4,-90,-90,5/7/17 7:39
18,4,-88.78321235,-87.64351265,5/7/17 7:39
19,7,-89.38139986,-86.31404735,5/7/17 7:39
20,9,-90,-89.68807488,5/7/17 7:39
21,8,-90,-89.68807488,5/7/17 7:39
23,8,-90,-90,5/7/17 7:39
24,8,-90,-90,5/7/17 7:39
26,8,-90,-89.68807488,5/7/17 7:39
11,8,-90,-88.78321235,5/7/17 7:39
12,7,-90,-90,5/7/17 7:39
13,7,-90,-88.78321235,5/7/17 7:39
14,7,-90,-90,5/7/17 7:39
15,4,-90,-90,5/7/17 7:39
16,2,-90,-89.68807488,5/7/17 7:39
17,2,-90,-90,5/7/17 7:39
18,2,-90,-87.64351265,5/7/17 7:39
19,2,-87.64351265,-85.80861003,5/7/17 7:39
20,8,-90,-89.38139986,5/7/17 7:39
21,8,-90,-88.20428693,5/7/17 7:39
23,8,-90,-90,5/7/17 7:39
24,8,-90,-90,5/7/17 7:39
26,8,-89.68807488,-89.07982737,5/7/17 7:39
11,8,-90,-88.20428693,5/7/17 7:39
12,8,-90,-90,5/7/17 7:39
13,8,-90,-89.07982737,5/7/17 7:39
14,8,-90,-90,5/7/17 7:39
15,8,-90,-90,5/7/17 7:39
16,3,-90,-88.78321235,5/7/17 7:39
17,3,-90,-89.68807488,5/7/17 7:39
18,3,-89.07982737,-87.9216988,5/7/17 7:39
19,6,-89.68807488,-89.38139986,5/7/17 7:39
20,6,-90,-89.38139986,5/7/17 7:39
21,6,-89.68807488,-89.38139986,5/7/17 7:39
22,6,-90,-90,5/7/17 7:39
23,6,-90,-90,5/7/17 7:39
24,6,-90,-90,5/7/17 7:39
26,6,-89.07982737,-89.68807488,5/7/17 7:39
11,9,-89.07982737,-87.36959568,5/7/17 7:39
12,11,-90,-90,5/7/17 7:39
13,11,-90,-90,5/7/17 7:39
14,9,-90,-90,5/7/17 7:39
15,8,-90,-90,5/7/17 7:39
16,8,-89.68807488,-88.78321235,5/7/17 7:39
17,8,-90,-90,5/7/17 7:39
18,8,-88.49141223,-86.83405012,5/7/17 7:39
19,12,-89.68807488,-86.83405012,5/7/17 7:39
20,13,-90,-89.38139986,5/7/17 7:39
21,10,-90,-90,5/7/17 7:39
23,8,-90,-90,5/7/17 7:39
24,8,-90,-90,5/7/17 7:39
26,8,-89.38139986,-89.38139986,5/7/17 7:39
11,9,-88.78321235,-88.49141223,5/7/17 7:39
12,13,-90,-90,5/7/17 7:39
13,12,-90,-89.68807488,5/7/17 7:39
14,12,-90,-90,5/7/17 7:39
15,8,-90,-89.68807488,5/7/17 7:39
16,7,-90,-89.68807488,5/7/17 7:39
17,7,-90,-90,5/7/17 7:39
18,7,-88.49141223,-88.49141223,5/7/17 7:39
19,11,-88.78321235,-88.20428693,5/7/17 7:39
20,14,-90,-90,5/7/17 7:39
21,12,-90,-89.68807488,5/7/17 7:39
23,9,-90,-90,5/7/17 7:39
24,9,-90,-90,5/7/17 7:39
26,9,-89.38139986,-89.68807488,5/7/17 7:39
11,11,-88.78321235,-87.9216988,5/7/17 7:39
12,14,-90,-90,5/7/17 7:39
13,14,-90,-89.38139986,5/7/17 7:40
14,14,-90,-90,5/7/17 7:40
15,10,-90,-90,5/7/17 7:40
16,7,-90,-89.68807488,5/7/17 7:40
17,7,-90,-90,5/7/17 7:40
18,7,-88.49141223,-87.09981751,5/7/17 7:40
19,11,-89.07982737,-87.64351265,5/7/17 7:40
20,13,-90,-90,5/7/17 7:40
21,12,-90,-89.68807488,5/7/17 7:40
24,8,-90,-90,5/7/17 7:40
26,8,-89.38139986,-87.64351265,5/7/17 7:40
11,10,-90,-89.07982737,5/7/17 7:40
12,10,-90,-90,5/7/17 7:40
13,10,-90,-89.38139986,5/7/17 7:40
14,10,-90,-90,5/7/17 7:40
15,10,-90,-89.68807488,5/7/17 7:40
16,6,-90,-89.38139986,5/7/17 7:40
17,4,-90,-90,5/7/17 7:40
